family,strategy,seed,accuracy,precision_macro,recall_macro,f1_macro,bots_precision,bots_recall,benign_as_bots,train_secs
xgboost,smote,42,0.9987284723021197,0.9291203909857559,0.9981199710354981,0.955277771345535,0.5653450807635829,0.9897172236503856,296,37.9
xgboost,class_weights,42,0.9990319726730646,0.9498123268647494,0.997423747898876,0.9692477523479929,0.6689895470383276,0.987146529562982,190,112.1
random_forest,smote,42,0.9972585783487199,0.8818661945872359,0.9964493262088333,0.913017350923953,0.30245447347585114,0.9820051413881749,881,68.2
random_forest,class_weights,42,0.9961001194164858,0.8787295525616025,0.9965659402360932,0.9002460591719298,0.1980351602895553,0.9845758354755784,1551,144.6
xgboost,smote,7,0.9987899658413308,0.9353487551138616,0.9982867846531642,0.9594819466720529,0.591743119266055,0.9948586118251928,267,45.0
xgboost,class_weights,7,0.9990577602862821,0.9518688150713656,0.9983294691517306,0.9711477730902757,0.6898395721925134,0.9948586118251928,174,131.4
random_forest,smote,7,0.9971831991716226,0.8860615011497502,0.9957841817007865,0.9137114296144544,0.29112964366944655,0.987146529562982,935,73.4
random_forest,class_weights,7,0.9958343086340896,0.8794631241935568,0.994737642652445,0.8983799412988223,0.1887905604719764,0.987146529562982,1650,168.7
xgboost,smote,123,0.998710619339123,0.9274781945858704,0.9976057649249597,0.9545656946434661,0.5793413173652695,0.9948586118251928,281,55.7
xgboost,class_weights,123,0.9989625444836328,0.9462026452353145,0.9976329482406039,0.9672852710180576,0.6672413793103448,0.9948586118251928,193,163.5
random_forest,smote,123,0.9971693135337362,0.8816611011610175,0.996929765401457,0.911884280248952,0.2942073170731707,0.9922879177377892,926,94.1
random_forest,class_weights,123,0.9955863508146902,0.8754457880315487,0.9952111178255344,0.8952387971769821,0.17973856209150327,0.9897172236503856,1757,206.2
