attack_class,condition,flows_tested,evaded,evasion_rate,median_perturbation,min_perturbation
Bots,constrained,30,30,1.0,0.007,0.0
Bots,unconstrained,30,30,1.0,0.0,0.0
Brute Force,constrained,30,30,1.0,0.142,0.062
Brute Force,unconstrained,30,30,1.0,0.002,0.0
DDoS,constrained,30,30,1.0,0.111,0.016
DDoS,unconstrained,30,30,1.0,0.001,0.0
DoS,constrained,30,21,0.7,0.896,0.018
DoS,unconstrained,30,30,1.0,0.001,0.0
Port Scanning,constrained,30,30,1.0,0.008,0.0
Port Scanning,unconstrained,30,30,1.0,0.0,0.0
Web Attacks,constrained,30,30,1.0,0.055,0.002
Web Attacks,unconstrained,30,30,1.0,0.004,0.0
